(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
sapo	qualquer um dos vários anfíbios de corpo robusto sem cauda com membros posteriores longos para saltar; espécies semiaquáticas e terrestres
saponificado	convertido em sabão
saraivar	atacar e bombardear com ou como se com mísseis
sarar	curar ou recuperar;"minha perda quebrada está melhorando"
sarcolemático	relacionado com um sarcolema
sardenho	relacionado com ou característico da Sardenha ou o seu povo ou sua linguagem
sardo	relacionado com ou característico da Sardenha ou o seu povo ou sua linguagem
sartório	de ou relacionado com o músculo sartório
satisfazer	preencher ou satisfazer um desejo ou uma necessidade
satírico	relacionado com ou tendo as características de um sátiro
saudade	desejo (ou necessidade) não realizado e prolongado
saudar	enviar saudações a
saudavelmente	de uma forma saudável
saudação	(Geralmente no plural) um reconhecimento ou expressão de boa vontade (especialmente quando pessoas se encontram)
saudita	relacionado a Arábia Saudita ou ao seu povo
saudável	física e mentalmente saudável
saxão	um membro de um povo germânico que conquistou a Inglaterra e se misturaram com os anglos e jutos para tornarem-se anglo-saxões; dominante na Inglaterra até a conquista normanda
saxônico	um membro de um povo germânico que conquistou a Inglaterra e se misturaram com os anglos e jutos para tornarem-se anglo-saxões; dominante na Inglaterra até a conquista normanda
saxônio	um membro de um povo germânico que conquistou a Inglaterra e se misturaram com os anglos e jutos para tornarem-se anglo-saxões; dominante na Inglaterra até a conquista normanda
saída	o ato de sair
se abrir	ter uma abertura ou passagem ou saida
se arrepiar	Sentir-se como se estivesse infestado de insetos, sentir formiguinhas
se opor	agir contra ou em oposição a alguma coisa
seTswana	O tsuana (em tsuana: Setswana), é uma língua banta escrita em alfabeto latino. O tsuana é a língua materna dos tsuanas (batswana; singular motswana). Apesar do tsuana ser a língua oficial do Botsuana, a maioria dos seus falantes habita na África do Sul. Existem igualmente falantes no Zimbabué e na Namíbia. No total, são cerca de 4 milhões os falantes desta língua. Antes da África do Sul se ter tornado numa democracia multi-racial, o bantustão do Bophuthatswana tinha sido criado para cobrir os falantes de tsuana deste país.
secamente	de forma lacônica e seca
secar	remover a umidade e tornar seco; "roupas secas"; "cabelo seco"
secateurs	tesouras com lâminas fortes usadas para poda leve de plantas lenhosas
secionar	Dividir em segmentos
seco por pulverização	secar ao trazer uma substância pulverizada (por exemplo, leite ou sabão) em contacto com o ar quente e recuperá-lo sob a forma de um pó
secretamente	Em segredo; não abertamente
secretividade	a característica de manter as coisas secretas
secreto	não expresso
secularizar	transferir do controle, uso ou posse eclesiástica para a civil
secundanista	usado para o segundo ano da escola ou faculdade nos Estados Unidos
secundar	dar suporte ou aprovação a
sedan	um carro fechado e que tem assentos dianteiros e traseiros e duas ou quatro portas
sedante	tendendo a acalmar ou tranquilizar
sedar	fazer ser calmo ou tranquilo, administrando um sedativo
sedativo	tendendo a acalmar ou tranquilizar
sede	(Geralmente no plural) o escritório que serve como o centro administrativo de uma empresa
sedento	(geralmente seguido por "por") extremamente desejoso de
sedimentar	tornar-se claro pelo afundamento de partículas
sedição	aberta rebelião contra a autoridade constituída (especialmente por marinheiros ou soldados contra seus oficiais)
sedutor	um homem que se aproveita das mulheres
seduzir	induzir uma ação usando o seu charme
sedã	um carro fechado e que tem assentos dianteiros e traseiros e duas ou quatro portas
segmentar	Dividir em segmentos
segmentação	o ato de dividir ou de particionar; separação pela criação de uma fronteira que divide ou mantém separado
segredo	informação conhecida apenas por um grupo especial
seguidor	Uma pessoa que aceita a liderança de outro
seguinte	imediatamente seguinte no tempo ou ordem; " o dia seguinte"; "o proximo na fila"; "o proximo presidente"; "o item seguinte na lista"
seguir	Seguir em frente; viajar para a frente no tempo ou no espaço
segunda de Pentecostes	O dia depois de Pentecoste; um feriado legal na Inglaterra e País de Gales e Irlanda
segundamente	em segundo lugar
segundo	o competidor que termina em segundo lugar
segundo trimestre	período de tempo compreendido entre 13 a 27ª semana de gestação
segundo-em-comando	alguém que substitui um comandante
segundo-lugar	o competidor que termina em segundo lugar
segundo-tenente	um oficial que mantem um posto comissionado na Marinha dos Estados Unidos ou da Guarda Costeira dos Estados Unidos; abaixo de tenente e acima de Alferes
seguradora	uma instituição financeira que vende seguros
segurar	evitar de expirar
seguro	Imune a ataques; incapaz de ser adulterado
seis	uma quantidade consistindo de seis itens ou unidades
seismologista	um geofísico que estuda os terremotos e as características mecânicas da Terra
seismologistus	um geofísico que estuda os terremotos e as características mecânicas da Terra
seiva	a parte líquida, que pode ser extraída de uma planta ou tecido animal por compressão ou cozinhando
selado	estabelecido irrevogavelmente
selar	decidir irrevogavelmente
seleccionar	escolher, selecionar de um numero de alternativas
selecionar	selecionar a partir de uma lista
selecionar cuidadosamente	escolher pessoalmente e com muito cuidado
selecção	o ato de escolher ou selecionar; "sua escolha de cores foi pouco feliz"; "voce pode fazer sua seleção"
seleção	o ato de escolher ou selecionar; "sua escolha de cores foi pouco feliz"; "voce pode fazer sua seleção"
selvagem	Marcado por extrema falta de moderação ou controle
sem chances	destinado a acabar em fracasso e decepção
sem controle	descontroladamente; sem auto-controle
sem delonga	sem demora ou hesitação
sem dúvida	de uma forma ou de um grau que não poderia ser posto em dúvida
sem falta	sem dúvida
sem fôlego	sem respirar direito ou capaz de respirar apenas com dificuldade
sem graça	sem graça; rigidamente
sem manchas	de forma impecável
sem medo	Esquecido de perigos ou calmamente firme para resolve-los
sem olho	sem visão
sem palavras	expresso sem discurso
sem saber	Sem conhecimento ou saber
sem sentido	de uma maneira exageradamente sem sentido
sem sombra de dúvida	de uma forma ou de um grau que não poderia ser posto em dúvida
sem tampa	Não tendo nenhuma tampa
semanalmente	semanalmente
semanticamente	no que diz respeito ao significado
semeador	alguém que semeia
semear	colocar (sementes) em cima ou dentro do solo para o crescimento futuro
semear chuva	Borrifar com partículas de iodeto de prata para dispersar e causar chuvas
semente	um óvulo fertilizado e maduro de uma planta que consiste de um embrião e sua fonte de alimento e que tem um revestimento protetor ou testa
seminário	um curso oferecido para um pequeno grupo de estudantes avançados
semita	relacionado com ou característico de semitas
semítico	relacionado com ou característico de semitas
senador	um membro de um senado
senadora	um membro de um senado
senegalense	relacionado com ou característico do Senegal ou de suas pessoas
senegalês	relacionado com ou característico do Senegal ou de suas pessoas
senhor	equivalente a Mr. em inglês
senhora	uma mulher refinada
senilidade	doença mental, como consequência da velhice; às vezes demonstrado por paixões tolas
sensação	um sucesso notável; "aquela musica foi seu primeiro sucesso";
sensibilizar	tornar sensível ou consciente
senso de dever	consciência motivadora da sua responsabilidade ética
sentar	colocar num assento
sentar-se	tomar um assento
sentença	(lei) a determinação por um tribunal com uma jurisdição competente em assuntos que lhe são submetidos
sentimentalizar	agir de maneira sentimental ou exagerar com expressoes e pensamentos sentimentais
sentimento	uma compreensão intuitiva de algo
sentir	perceber por uma sensação física, por exemplo, vinda da pele ou músculoss
sentir falta	sentir ou sofrer com a falta de
sentir saudade	sentir ou sofrer com a falta de
sentir-se bem	estar saudável; sentir-se bem
separadamente	separado de outros
separado	Independentes; não unidos ou conjuntos
separar	ficar separado em pedaços ou fragmentos
separar se	descontinuar uma associação ou relação; seguir caminhos diferentes
separação	o ato de dividir ou desconectar
septal	relacionado com um septo
sepultar	cobrir para nao ser visto
sequenciar	organizar em uma seqüência
sequestro	roubo de um viajante ou veículo em trânsito ou tomar o controle de um veículo pelo uso da força
sequência	a ação de seguir em ordem; "jogou os trunfos em seqüência"
ser	uma coisa viva que tem (ou pode desenvolver) a habilidade de agir ou funcionar de forma independente
ser DJ	escolher a música a ser tocada
ser autônomo	Trabalhar de forma independente e em contratos temporários em vez de para um empregador a longo prazo
ser bem sucedido	alcançar sucesso ou alcançar um objetivo desejado
ser conivente	dar uma aprovação silenciosa a alguem
ser enganado	cair na armadilha, diz-se de patos, por exemplo, que foram convencidos pelas imitacoes, "decoys" usadas."
ser humano	ser humano
ser melhor	ser superior
ser para	destinar ou designar para um determinado propósito
ser pioneiro	tomar a liderança ou iniciativa em algo; participar do desenvolvimento de
ser recebido	ser compreendido
ser rico	existir em grandes quantidades
ser sobrenatural	Um ser incorpóreo que se acredita ter poderes especiais para afetar o curso dos eventos humanos
ser standing	ser um substituto ou um ator alternativo para um papel
ser suficiente	ser suficiente; ser adequado, quer em termos de qualidade ou quantidade
ser sutil	fazer distinções sutis e sutilezas entre palavras
serenamente	de forma pacífica e serena
serenar	ganhar a boa vontade de
seriamente	num grau severo ou grave
sericultor	um produtor de seda crua
serpente	réptil sem pernas, alongado e escamoso; algumas são venenosas
serpentear	se mover suavemente e sinuosamente, como uma cobra
serra-leonense	relacionado com a Serra Leoa e seu povo
serra-leonino	relacionado com a Serra Leoa e seu povo
serra-leonês	relacionado com a Serra Leoa e seu povo
serrar	cortar com uma serra
serventuário	um trabalhador que detém ou está investido de um cargo
servidor de arquivos	(ciência da computação) um computador digital que fornece acesso controlado aos recursos compartilhados aas estações de trabalho em rede
servidor público	um trabalhador que detém ou está investido de um cargo
servilmente	de uma forma servil
servir	cumprir as obrigações ou ocupar um cargo; servir em uma função especifica; "ele serviu como chefe do departamento por três anos"; "ela exerceu em um congresso por dois mandatos "
